(-12.978943984944666, -10.63931785829418)
(-6.246619910590105, -14.64827376846539)
(-26.450346015769142, -1.4501774262211353)
(-19.696296554788592, -6.135249170355873)
(-8.911932445225126, -9.496093256943736)
(-11.726795204931669, -8.098348136868402)
(-7.944426652968408, -9.534159975340883)
(2.767354897300486, -12.777332941337322)
(-14.91199496700814, 0.08665358290987424)
(-8.49341294744181, -6.282389429913053)
(-9.121192194116784, -3.436222587934667)
(10.097758112577342, -12.2609043412924)
(7.593460552551349, -11.9505540424122)
(-0.6282585874561211, -4.350528845470359)
(0.6318129825427556, -4.446516042572719)
(-6.002552542337509, -2.742022906942948)
(17.468840821421566, -9.499401306967876)
(-3.737872703410739, 0.9971926942462406)
(3.347378465271908, -2.500556178394554)
(3.5092023477053385, -2.039518243013815)
